timestamp,x,y
174508,0,0
174508,0,0
174508,0,0
174509,0,0
174509,0,0
174509,596,771
174509,618,793
174509,1028,1034
174509,1247,995
174509,1288,1029
174509,1317,852
174509,1322,858
174509,1330,859
174509,1323,869
174509,1321,859
174509,1335,831
174509,1337,826
174509,1348,812
174509,1350,802
174509,1337,802
174509,1334,758
174509,1330,739
174509,1332,715
174509,1320,702
174510,1333,645
174510,1349,624
174510,1374,616
174510,1374,604
174510,1378,611
174510,1385,619
174510,1382,632
174510,1307,718
174510,455,779
174510,339,812
174510,339,812
174510,439,843
174510,0,0
174510,1134,813
174510,1177,814
174510,1291,763
174510,1330,746
174510,1367,725
174510,0,0
174510,0,0
174510,0,0
174510,0,0
174511,0,0
174511,0,0
174511,0,0
174511,0,0
174511,1383,757
174511,1396,750
174511,1504,747
174511,1542,742
174511,0,0
174511,0,0
174511,0,0
174511,0,0
174511,0,0
174511,0,0
174511,0,0
174511,0,0
174511,0,0
174511,0,0
174511,1472,791
174511,1472,777
174511,1471,715
174512,1512,662
174512,1519,612
174512,1535,571
174512,1542,540
174512,1504,547
174512,1390,568
174512,1376,548
174512,1373,504
174512,1367,499
174512,1345,485
174512,1342,470
174512,1297,470
174512,1264,470
174512,1255,470
174512,1247,466
174512,1253,451
174512,1259,450
174512,1262,459
174512,1261,459
174512,1281,463
174512,1389,463
174513,1410,460
174513,1399,465
174513,1391,472
174513,1372,497
174513,1339,518
174513,1319,534
174513,1235,563
174513,1185,568
174513,1158,577
174513,1150,582
174513,1129,588
174513,1115,571
174513,1104,546
174513,1103,519
174513,1102,519
174513,1092,514
174513,1069,513
174513,1051,512
174513,1051,517
174513,1055,497
174513,1067,471
174513,1136,446
174514,1208,453
174514,1216,440
174514,1190,449
174514,1157,455
174514,1109,452
174514,1100,448
174514,1091,452
174514,1088,468
174514,1089,481
174514,1086,498
174514,1089,498
174514,1096,498
174514,1095,497
174514,1097,497
174514,1098,494
174514,1083,484
174514,1085,458
174514,1082,442
174514,1064,428
174514,1047,405
174514,1045,412
174515,1045,414
174515,1040,397
174515,989,393
174515,855,381
174515,802,383
174515,698,371
174515,660,349
174515,655,302
174515,657,248
174515,667,191
174515,673,163
174515,677,147
174515,673,147
174515,673,146
174515,674,149
174515,673,152
174515,672,179
174515,675,189
174515,678,221
174515,680,224
174515,686,225
174516,687,242
174516,681,271
174516,643,308
174516,607,355
174516,599,364
174516,565,386
174516,570,397
174516,575,419
174516,575,433
174516,575,434
174516,584,432
174516,587,431
174516,588,426
174516,607,393
174516,616,355
174516,643,310
174516,674,286
174516,694,268
174516,839,212
174516,952,194
174516,1189,103
174516,1247,63
174517,1304,0
174517,1315,0
174517,1370,0
174517,1359,0
174517,1374,0
174517,1362,66
174517,1356,85
174517,1352,112
174517,1323,166
174517,1294,212
174517,1259,264
174517,1201,321
174517,1126,333
174517,1097,310
174517,1106,307
174517,1121,296
174517,1128,297
174517,1133,304
174517,1142,309
174517,1149,310
174517,1228,307
174518,1261,306
174518,1302,306
174518,1358,304
174518,1375,305
174518,1335,315
174518,1203,336
174518,1075,343
174518,911,361
174518,887,359
174518,847,353
174518,836,354
174518,827,354
174518,821,352
174518,819,349
174518,817,346
174518,805,347
174518,789,354
174518,758,371
174518,741,381
174518,720,396
174518,701,414
174519,689,422
174519,671,428
174519,669,426
174519,676,420
174519,679,412
174519,680,404
174519,684,396
174519,690,409
174519,714,476
174519,724,522
174519,747,599
174519,761,619
174519,766,642
174519,762,654
174519,753,631
174519,744,625
174519,710,587
174519,687,578
174519,676,577
174519,679,582
174519,676,603
174520,679,678
174520,680,707
174520,688,757
174520,695,775
174520,705,783
174520,709,781
174520,710,786
174520,708,788
174520,707,793
174520,706,802
174520,699,810
174520,669,824
174520,647,836
174520,632,851
174520,611,863
174520,558,882
174520,556,876
174520,564,874
