timestamp,x,y,velocity,event
163313,653,683,0.0,fixation
163313,688,694,0.0,fixation
163313,709,697,0.0,fixation
163314,744,712,38.07886552931954,fixation
163314,769,719,0.0,fixation
163314,832,725,0.0,fixation
163314,897,748,0.0,fixation
163314,1009,759,0.0,fixation
163314,1032,776,0.0,fixation
163314,1022,811,0.0,fixation
163314,1065,794,0.0,fixation
163314,1075,805,0.0,fixation
163314,1098,803,0.0,fixation
163314,1103,777,0.0,fixation
163314,1072,781,0.0,fixation
163314,1052,785,0.0,fixation
163314,1049,773,0.0,fixation
163314,1051,774,0.0,fixation
163314,1007,730,0.0,fixation
163314,989,708,0.0,fixation
163314,950,715,0.0,fixation
163314,909,712,0.0,fixation
163314,907,685,0.0,fixation
163314,907,680,0.0,fixation
163315,0,0,1133.6000176429075,saccade
163315,997,689,0.0,fixation
163315,1753,715,0.0,fixation
163315,1484,1079,0.0,fixation
163315,1484,1079,0.0,fixation
163315,1554,1079,0.0,fixation
163315,1753,1079,0.0,fixation
163315,1846,1079,0.0,fixation
163315,940,830,0.0,fixation
163315,934,813,0.0,fixation
163315,917,801,0.0,fixation
163315,876,704,0.0,fixation
163315,848,659,0.0,fixation
163315,767,658,0.0,fixation
163315,766,644,0.0,fixation
163315,766,634,0.0,fixation
163315,1184,1079,0.0,fixation
163315,0,0,0.0,fixation
163315,0,0,0.0,fixation
163315,0,0,0.0,fixation
163315,0,0,0.0,fixation
163316,0,0,0.0,fixation
163316,0,1079,0.0,fixation
163316,0,1079,0.0,fixation
163316,0,1079,0.0,fixation
163316,0,0,0.0,fixation
163316,0,0,0.0,fixation
163316,0,0,0.0,fixation
163316,0,0,0.0,fixation
163316,0,0,0.0,fixation
163316,207,901,0.0,fixation
163316,316,779,0.0,fixation
163316,387,704,0.0,fixation
163316,492,563,0.0,fixation
163316,536,533,0.0,fixation
163316,667,539,0.0,fixation
163316,742,544,0.0,fixation
163316,766,549,0.0,fixation
163316,903,552,0.0,fixation
163316,947,558,0.0,fixation
163316,981,586,0.0,fixation
163316,988,580,0.0,fixation
163316,988,578,0.0,fixation
163317,998,580,10.198039027185569,fixation
163317,1035,652,0.0,fixation
163317,1343,1079,0.0,fixation
163317,1549,1079,0.0,fixation
163317,1667,1079,0.0,fixation
163317,1629,1079,0.0,fixation
163317,1546,1040,0.0,fixation
163317,1046,962,0.0,fixation
163317,946,940,0.0,fixation
163317,887,921,0.0,fixation
163317,679,876,0.0,fixation
