timestamp,x,y
210832,1460,64
210832,1587,36
210832,1603,31
210833,1619,27
210833,1595,0
210833,1583,1
210833,789,0
210833,786,6
210833,743,64
210833,747,95
210833,758,111
210833,765,134
210833,159,145
210833,140,140
210833,117,138
210833,86,138
210833,61,135
210833,67,131
210833,62,126
210833,48,117
210833,46,109
210833,42,100
210833,38,89
210833,37,85
210834,33,87
210834,33,87
210834,36,89
210834,116,88
210834,1254,91
210834,1293,89
210834,1326,84
210834,1401,80
210834,1479,77
210834,1507,75
210834,1606,80
210834,1629,82
210834,1666,84
210834,1657,85
210834,1607,96
210834,1534,116
210834,1462,139
210834,1413,166
210834,1299,185
210834,1264,198
210834,1190,253
210834,1146,260
210835,1093,286
210835,1066,325
210835,1045,329
210835,333,340
210835,312,341
210835,268,344
210835,241,344
210835,197,362
210835,197,362
210835,193,357
210835,193,357
210835,197,357
210835,174,971
210835,166,939
210835,167,925
210835,173,795
210835,175,714
210835,176,644
210835,181,547
210835,244,527
210835,438,499
210836,527,493
210836,1226,514
210836,1245,520
210836,1285,524
210836,1302,527
210836,1309,533
210836,1309,548
210836,1306,579
210836,1302,587
210836,1300,622
210836,1294,640
210836,1290,651
210836,1262,673
210836,1228,677
210836,1175,676
210836,1159,681
210836,1125,687
210836,1111,689
210836,1091,689
210836,1091,692
210836,1085,695
210837,1081,697
210837,1075,698
210837,1063,697
210837,1052,695
210837,1051,697
210837,1047,697
210837,1039,697
210837,1036,696
210837,1025,691
210837,1025,691
210837,1023,688
210837,1026,687
210837,1027,682
210837,1028,676
210837,1032,672
210837,1035,667
210837,1055,663
210837,1060,657
210837,1064,649
210837,1070,648
210837,1090,651
210838,1137,655
210838,1174,661
210838,1270,678
210838,1317,690
210838,1346,729
210838,1342,766
210838,1340,794
210838,1356,796
210838,1369,787
210838,1437,786
210838,1458,775
210838,1500,761
210838,1536,704
210838,1574,659
210838,1581,633
210838,1598,574
210838,1609,557
210838,1613,526
210838,1615,514
210838,1609,506
210838,1606,515
210838,1603,510
210839,1603,509
210839,1604,510
210839,1604,510
210839,1604,510
210839,1604,510
210839,1604,510
210839,1604,510
210839,1604,510
210839,1604,510
210839,1604,510
210839,1604,510
210839,0,0
210839,0,0
210839,0,0
210839,0,0
210839,0,0
210839,0,0
210839,0,0
210839,0,0
210839,0,0
210839,0,0
210840,0,0
210840,0,0
210840,0,0
210840,0,0
210840,0,0
210840,0,0
210840,0,0
210840,0,0
210840,0,0
210840,0,0
210840,0,0
210840,0,0
210840,0,0
210840,0,0
210840,0,0
210840,0,0
210840,0,0
210840,0,0
210840,0,0
210840,0,0
210840,0,0
210841,0,0
210855,1743,205
210855,1413,203
210855,1320,252
210856,1266,286
210856,1189,348
210856,1171,374
210856,1143,394
210856,1164,366
210856,1172,364
210856,1196,335
210856,1208,317
210856,1244,305
210856,1697,246
210856,1740,227
210856,1793,186
210856,1818,139
210856,1817,115
210856,1802,97
210856,1796,108
210856,1766,112
210856,1763,115
210856,1763,116
210856,1754,117
210856,1751,116
210857,1741,107
210857,1730,99
210857,1705,82
210857,1658,79
210857,1595,45
210857,1564,33
210857,1568,10
210857,1572,0
210857,1573,0
210857,1573,0
210857,1573,0
210857,1573,0
210857,1564,3
210857,1565,23
210857,1553,22
210857,1526,36
210857,1522,31
210857,1525,29
210857,1524,29
210857,1547,28
210857,1547,27
210858,1546,27
210858,1553,16
210858,1553,15
210858,1557,13
210858,1561,10
210858,1552,8
210858,1541,10
210858,1537,14
210858,1545,17
210858,1546,18
210858,1550,16
210858,1553,15
210858,1491,21
210858,1362,47
210858,1310,61
210858,938,61
210858,860,78
210858,820,84
210858,806,96
210858,779,112
210858,754,175
210858,771,186
210859,742,206
210859,742,234
210859,748,249
210859,740,261
210859,745,263
210859,763,272
210859,817,285
210859,863,293
210859,885,298
210859,929,312
210859,954,320
210859,1005,339
210859,1008,348
210859,991,361
210859,987,375
210859,974,388
210859,952,387
210859,946,388
210859,916,385
210859,894,385
210859,872,382
210900,820,381
210900,799,384
210900,797,380
210900,800,382
210900,804,380
210900,811,379
210900,810,385
210900,822,403
210900,845,401
210900,883,397
210900,903,396
210900,902,396
210900,901,396
210900,901,396
210900,960,396
210900,984,397
210900,1032,396
210900,1107,376
210900,1124,368
210900,1165,292
210900,1209,256
210901,1265,231
210901,1319,204
