timestamp,x,y,velocity,threshold,classification
173435,1754,449,0.0,1160.575888512129,fixation
173435,1738,446,325.5764119219941,1190.1272816165529,fixation
173435,1746,444,164.9242250247064,1213.1487073787216,fixation
173436,1769,438,475.3945729601885,1231.924728534128,fixation
173436,1793,441,483.73546489791295,1248.8500989022734,fixation
173436,1798,442,101.98039027185568,1266.2602542041886,fixation
173436,1801,438,100.0,1286.3318300040887,fixation
173436,1804,447,189.73665961010275,1310.9124363513517,fixation
173436,1793,456,284.2534080710379,1341.1933312482602,fixation
173436,1764,502,1087.5660899458019,1377.342459818891,fixation
173436,1763,522,400.4996878900157,1418.324410436685,fixation
173436,1750,596,1502.6643005009469,1462.0836789117684,saccade
173436,1725,616,640.3124237432849,1506.0326532927563,fixation
173436,1711,645,644.0496875241846,1547.6316989717993,fixation
173436,1702,658,316.2277660168379,1584.8430384959402,fixation
173436,1661,650,835.4639429682169,1616.357425398059,fixation
173436,1613,651,960.2083107326242,1641.6032093139315,fixation
173436,1601,650,240.8318915758459,1660.609177350173,fixation
173436,1584,648,342.3448553724738,1673.846516898745,fixation
173436,1587,643,116.61903789690601,1682.0056326754957,fixation
173436,1588,635,161.24515496597098,1685.8941244201133,fixation
173436,1608,640,412.31056256176606,1686.3613719233922,fixation
173436,1610,642,56.568542494923804,1684.213483997895,fixation
173436,1609,639,63.245553203367585,1680.1942866312775,fixation
173437,1594,641,302.65491900843114,1674.947451713684,fixation
173437,1564,649,620.966987850401,1668.9930423830044,fixation
173437,1484,663,1624.3152403397562,1662.7250093685484,fixation
173437,1458,666,523.450093132096,1656.439458347881,fixation
173437,1445,678,353.83612025908263,1650.402611201404,fixation
173437,1464,684,398.4971769034255,1644.9516163864082,fixation
173437,1468,701,349.2849839314596,1640.6139482179078,fixation
173437,1477,711,269.07248094147417,1638.2151801415994,fixation
173437,1495,724,444.07206622349037,1638.9357931079599,fixation
173437,1503,739,340.0,1644.2547501337722,fixation
173437,1531,752,617.4139616173252,1655.7300238743674,fixation
173437,1533,758,126.49110640673517,1674.6240434673239,fixation
173437,1538,757,101.98039027185568,1701.4588553865767,fixation
173437,1553,768,372.0215047547655,1735.6792358432808,fixation
173437,1587,773,687.3136110975832,1775.5985838453391,fixation
173437,1608,784,474.1307836451879,1818.68249373668,fixation
173437,1614,783,121.65525060596438,1862.0559962426396,fixation
173437,1614,790,140.0,1903.046615952218,fixation
173437,1616,801,223.60679774997897,1939.6026378722377,fixation
173437,1619,805,100.0,1970.5048134652448,fixation
173437,1620,808,63.245553203367585,1995.368395008633,fixation
173437,1200,958,8919.641248391103,2014.4949334492537,saccade
173438,1198,950,164.9242250247064,2028.6339436241246,fixation
173438,1196,948,56.568542494923804,2038.7399411763067,fixation
173438,1631,904,8744.392488903959,2045.7729087080756,saccade
173438,1641,912,256.12496949731394,2050.5692303501637,fixation
173438,1641,912,0.0,2053.7782249780726,fixation
173438,1641,912,0.0,2060.717899285866,fixation
173438,1641,912,0.0,2066.5200507279633,fixation
173438,1641,912,0.0,2071.3544152505683,fixation
173438,1641,912,0.0,2075.284134135079,fixation
173438,1641,912,0.0,2078.3145151743806,fixation
173438,1641,912,0.0,2080.4426501052494,fixation
173438,1641,912,0.0,2081.6990713211494,fixation
173438,1641,912,0.0,2082.1716393279194,fixation
173455,1304,1079,7522.180534924697,2082.0084130374016,saccade
173455,1430,773,6618.519471906085,2081.40526240979,saccade
173455,1414,746,627.6941930590086,2080.5744236050355,fixation
173456,1528,702,2443.9312592624206,2079.7152205653438,saccade
173456,1608,689,1620.9873534361705,2078.985651475487,fixation
173456,1709,679,2029.8768435548004,2078.4814723856466,fixation
173456,1719,676,208.806130178211,2078.228412834191,fixation
173456,1704,595,1647.5436261295176,2078.188041642042,fixation
173456,1694,521,1493.4523762075576,2078.2750167896497,fixation
173456,1679,463,1198.1652640600128,2078.387204327693,fixation
173456,1680,351,2240.089283934906,2078.4308445789493,saccade
173456,1657,225,2561.6400996236766,2078.340401490129,saccade
173456,1645,222,247.3863375370596,2078.083696997705,fixation
173456,1600,183,1190.9659944767525,2077.6612672093565,fixation
173456,1598,179,89.44271909999159,2077.086206556706,fixation
173456,1581,175,349.2849839314596,2076.3672256422774,fixation
173456,1585,172,100.0,2075.4937324532584,fixation
173456,1570,175,305.9411708155671,2074.4321500517653,fixation
173456,1570,175,0.0,2073.130632891884,fixation
173456,1518,171,1043.0723848324237,2071.5461601128436,fixation
173456,1480,171,760.0,2069.687476150907,fixation
173456,1446,168,682.6419266350405,2067.664260058068,fixation
173456,1421,173,509.9019513592785,2065.746395529686,fixation
173456,1383,165,776.6595135579039,2064.4001039199825,fixation
173456,1391,144,449.4441010848846,2064.278631238948,fixation
173457,1396,129,316.2277660168379,2066.1462230581674,fixation
173457,1389,90,792.464510246358,2070.7261423355567,fixation
173457,1378,12,1575.4364474646381,2078.5021519432776,fixation
173457,1457,575,11370.312220867112,2089.5337388797416,saccade
173457,1455,568,145.60219778561034,2103.35330597815,fixation
173457,1455,581,260.0,2119.0046788464033,fixation
173457,1508,1079,10016.246802071122,2135.206368088429,saccade
173457,1486,1079,440.0,2150.5922004183776,fixation
173457,1380,1079,2120.0,2163.952965500882,fixation
173457,1268,1061,2268.7441459979573,2174.432472046964,saccade
173457,1206,1026,1423.9382009062049,2181.6371656834244,fixation
173457,1093,969,2531.2447530809814,2185.6681701441944,saccade
173457,1060,950,761.5773105863908,2187.059421217686,fixation
173457,1071,917,695.7010852370435,2186.636673724269,fixation
173457,1072,911,121.65525060596438,2185.3122105375696,fixation
