Record Time,X Coordinate,Y Coordinate
173502918155 ,1609,1079
173502935366 ,1609,1079
173502952429 ,1588,1079
173502969660 ,1588,1079
173502986682 ,1570,1052
173503003654 ,1570,1052
173503020936 ,1570,1052
173503038051 ,1564,1031
173503055118 ,1564,1031
173503072695 ,1553,977
173503089786 ,1543,944
173503107324 ,1543,944
173503124433 ,1535,930
173503141406 ,1535,930
173503158482 ,1532,934
173503175505 ,1532,934
173503192497 ,1525,933
173503209597 ,1525,933
173503226891 ,1517,937
173503244011 ,1517,937
173503261152 ,1518,934
173503278333 ,1518,934
173503295515 ,1518,930
173503312766 ,1518,930
173503329727 ,1506,887
173503347044 ,1506,887
173503364243 ,1506,887
173503381167 ,1487,852
173503398410 ,1458,840
173503415786 ,1458,840
173503432970 ,1352,780
173503450044 ,1352,780
173503467172 ,1218,736
173503484196 ,1218,736
173503501608 ,1141,725
173503518740 ,1141,725
173503535677 ,1068,705
173503552831 ,1019,681
173503569924 ,1019,681
173503587243 ,953,663
173503604414 ,953,663
173503621573 ,814,653
173503638566 ,814,653
173503655749 ,732,587
173503672875 ,732,587
173503689888 ,607,551
173503707176 ,607,551
173503724301 ,607,551
173503741687 ,454,508
173503758705 ,454,508
173503776115 ,434,488
173503793259 ,434,488
173503810406 ,391,423
173503827617 ,357,359
173503844829 ,357,359
173503861931 ,317,310
173503879234 ,317,310
173503896402 ,296,314
173503913523 ,296,314
173503930676 ,293,285
173503947983 ,293,285
173503965152 ,283,302
173503982714 ,283,302
173503999680 ,295,284
173504016915 ,267,275
173504034067 ,267,275
173504051022 ,267,275
173504068133 ,240,270
173504085332 ,240,270
173504102771 ,232,263
173504119779 ,232,263
173504136963 ,235,271
173504154336 ,235,271
173504171533 ,251,277
173504188799 ,251,277
173504205880 ,259,277
173504223208 ,259,277
173504240666 ,286,271
173504257874 ,312,269
173504275357 ,312,269
173504292603 ,363,261
173504309889 ,363,261
173504327021 ,391,253
173504344093 ,391,253
173504361272 ,388,244
173504378635 ,388,244
173504395753 ,365,230
173504412847 ,365,230
173504430052 ,365,230
173504447232 ,352,195
173504464314 ,352,195
173504481610 ,348,182
173504498842 ,338,149
173504516054 ,338,149
173504533437 ,363,145
173504550661 ,363,145
173504567672 ,670,83
173504584897 ,670,83
173504602002 ,970,15
173504618915 ,970,15
173504636115 ,987,13
173504653557 ,987,13
173504670877 ,957,19
173504688134 ,957,19
173504705329 ,940,28
173504722530 ,945,35
173504739868 ,945,35
173504757024 ,945,35
173504774611 ,900,65
173504791791 ,900,65
173504808899 ,875,80
173504825744 ,875,80
173504842792 ,844,89
173504859849 ,844,89
173504876842 ,837,90
173504894026 ,837,90
173504911212 ,836,91
173504928240 ,836,91
173504945573 ,834,93
173504962617 ,834,93
173504980086 ,832,95
173504998126 ,831,96
173505015364 ,831,96
173505032431 ,829,115
173505049686 ,829,115
173505066877 ,821,124
173505084177 ,821,124
173505101251 ,827,134
173505118359 ,827,134
173505135596 ,827,134
173505153065 ,827,140
173505170201 ,816,147
173505187115 ,816,147
173505204346 ,808,158
173505221594 ,808,158
173505238681 ,791,153
173505255918 ,791,153
173505273078 ,759,152
173505290166 ,759,152
173505307400 ,734,134
173505324544 ,734,134
173505341913 ,689,116
173505358901 ,689,116
173505376137 ,678,110
173505393340 ,630,90
173505410603 ,630,90
173505427801 ,577,87
173505445247 ,577,87
173505462590 ,577,87
173505479724 ,553,45
173505497137 ,553,45
173505514283 ,544,42
173505531438 ,544,42
173505548536 ,533,52
173505565399 ,533,52
173505582550 ,512,64
173505599841 ,512,64
173505616949 ,506,60
173505633972 ,473,67
173505651129 ,473,67
173505668598 ,435,76
173505685604 ,435,76
173505702937 ,432,77
173505720106 ,432,77
173505737331 ,442,74
173505754530 ,442,74
173505771389 ,448,71
173505788724 ,448,71
173505806211 ,452,72
173505823472 ,452,72
173505840653 ,452,72
173505857616 ,452,70
173505874595 ,455,71
173505891867 ,455,71
173505909117 ,458,68
173505926489 ,458,68
173505944186 ,468,66
173505961095 ,468,66
173505978216 ,479,61
173505995724 ,479,61
173506013226 ,503,54
173506030253 ,503,54
173506047393 ,523,53
173506064350 ,523,53
173506081443 ,554,44
173506098890 ,553,43
173506115903 ,553,43
173506132963 ,548,38
173506150093 ,548,38
173506167185 ,548,38
173506184327 ,542,4
173506201652 ,542,4
173506218781 ,538,0
173506235865 ,538,0
173506253121 ,521,0
173506270177 ,521,0
173506287354 ,514,0
173506304591 ,514,0
173506321634 ,493,0
173506338735 ,488,0
173506356020 ,488,0
173506373117 ,470,0
173506390354 ,470,0
173506407605 ,477,0
173506424499 ,477,0
173506441592 ,473,0
