timestamp,x,y
192054,868,204
192054,871,215
192054,885,239
192055,901,251
192055,918,256
192055,935,262
192055,940,261
192055,951,265
192055,970,310
192055,983,407
192055,989,430
192055,990,453
192055,1006,488
192055,1014,488
192055,1031,487
192055,1073,517
192055,1085,528
192055,1086,554
192055,1092,569
192055,1093,582
192055,1096,592
192055,1090,597
192055,1091,602
192055,1101,615
192056,1109,626
192056,1106,635
192056,1097,643
192056,1093,652
192056,1087,657
192056,1084,653
192056,1070,672
192056,1073,692
192056,1054,789
192056,1041,866
192056,1093,962
192056,1314,971
192056,1361,960
192056,1587,966
192056,1609,958
192056,1621,936
192056,1640,900
192056,1657,867
192056,1706,822
192056,1734,793
192056,1742,729
192057,1751,675
192057,1754,650
192057,1769,630
192057,1782,603
192057,1797,580
192057,1796,576
192057,1797,576
192057,1794,545
192057,1796,536
192057,1793,519
192057,1792,516
192057,1790,516
192057,1788,511
192057,1783,500
192057,1778,502
192057,1779,505
192057,1778,507
192057,1766,516
192057,1762,520
192057,1750,519
192057,1738,517
192057,1700,512
192058,1690,509
192058,1671,494
192058,1657,495
192058,1653,498
192058,1652,498
192058,1651,498
192058,1650,497
192058,1209,1079
192058,999,1079
192058,998,1079
192058,993,1079
192058,1023,609
192058,1026,608
192058,1031,554
192058,1031,401
192058,1022,309
192058,989,196
192058,971,223
192058,962,243
192058,957,216
192058,956,202
192059,937,186
192059,927,195
192059,936,214
192059,920,258
192059,924,338
192059,976,402
192059,972,430
192059,964,479
192059,989,479
192059,1001,498
192059,1006,478
192059,1019,478
192059,1019,478
192059,1012,481
192059,1009,491
192059,1001,496
192059,997,504
192059,969,498
192059,962,497
192059,925,501
192059,897,501
192100,893,502
192100,883,503
192100,857,503
192100,860,508
192100,855,515
192100,854,516
192100,850,495
192100,840,446
192100,814,355
192100,762,282
192100,737,274
192100,735,261
192100,734,260
192100,734,260
192100,696,757
192100,613,751
192100,613,751
192100,563,699
192100,552,635
192100,542,515
192100,544,462
192101,537,406
192101,537,387
192101,532,401
192101,518,417
192101,519,422
192101,512,478
192101,512,478
192101,512,481
192101,513,496
192101,523,547
192101,523,547
192101,746,656
192101,751,769
192101,808,790
192101,1097,763
192101,1260,223
192101,1286,229
192101,1001,474
192101,1002,475
192101,1001,474
192101,750,239
192101,201,238
192102,202,196
192102,199,98
192102,139,0
192102,139,0
192102,115,0
192102,143,0
192102,218,0
192102,303,82
192102,379,92
192102,391,119
192102,410,136
192102,414,163
192102,403,168
192102,382,174
192102,395,177
192102,398,188
192102,393,227
192102,391,233
192102,390,241
192102,387,252
192102,386,256
192103,391,253
192103,394,254
192103,374,254
192103,365,252
192103,351,253
192103,335,239
192103,345,224
192103,353,219
192103,334,185
192103,322,157
192103,317,127
192103,321,102
192103,320,100
192103,333,99
192103,341,98
192103,425,0
192103,469,0
192103,566,0
192103,597,0
192103,611,85
192103,689,88
192103,712,90
192104,720,93
192104,750,106
192104,789,118
192104,825,141
192104,819,154
192104,845,165
192104,895,170
192104,916,169
192104,923,170
192104,959,185
192104,1009,193
192104,1076,204
192104,1094,212
192104,1103,233
192104,1178,278
192104,1209,297
192104,1261,306
192104,1272,304
192104,1315,300
192104,1387,303
192104,1418,302
192105,1390,344
192105,1400,346
192105,1403,346
192105,1368,844
192105,1393,822
192105,1465,526
192105,1489,481
192105,1492,478
192105,1490,460
192105,1487,451
192105,1485,447
192105,238,422
192105,269,404
192105,272,387
192105,258,385
192105,257,389
192105,264,380
192105,266,378
192105,286,384
192105,332,388
192105,639,431
192106,689,460
192106,708,512
192106,726,514
192106,743,500
192106,748,499
192106,745,496
192106,739,493
192106,714,483
192106,714,484
192106,714,483
192106,713,483
192106,713,483
192106,449,1079
192106,420,1079
192106,399,616
192106,398,602
192106,391,608
192106,384,613
192106,371,619
192106,376,626
192106,381,662
192106,397,692
192107,465,775
192107,499,813
192107,514,845
192107,1000,845
192107,1019,842
192107,1056,837
192107,1069,834
192107,1090,831
192107,1111,828
192107,1138,828
192107,1166,827
192107,1200,825
192107,1214,825
192107,1242,821
192107,1254,817
192107,1257,821
192107,1257,821
192107,1257,821
192107,1256,820
192107,1244,839
192107,1236,844
192108,1244,840
192108,1270,788
192108,1294,712
192108,1321,568
192108,1348,385
192108,1357,319
192108,1363,278
192108,800,242
192108,777,248
192108,687,245
192108,622,247
192108,563,250
192108,456,230
192108,418,232
192108,332,501
192108,299,506
192108,187,491
192108,190,215
192108,207,215
192108,199,182
192108,201,190
192109,189,212
192109,200,220
192109,219,227
192109,279,252
192109,348,251
192109,473,250
192109,545,256
192109,575,257
192109,611,262
192109,638,260
192109,725,251
192109,788,241
192109,843,208
192109,949,166
192109,1043,148
192109,1198,88
192109,1270,72
192109,1313,40
192109,1315,28
192109,1332,19
192109,1401,19
192110,1389,28
192110,1391,29
192110,1393,30
192110,1393,31
192110,522,576
192110,529,564
192110,530,557
192110,540,555
192110,545,541
192110,541,499
192110,539,443
192110,526,415
192110,528,429
192110,521,436
192110,506,441
192110,484,484
192110,501,514
192110,561,567
192110,593,567
192110,651,558
192110,681,555
192110,706,553
192111,765,547
192111,797,538
192111,797,538
192111,790,554
192111,783,551
192111,775,526
192111,772,533
192111,758,557
192111,785,559
192111,818,581
192111,890,700
192111,1006,837
192111,783,1079
192111,967,1079
192111,529,1079
192111,486,762
192111,483,703
192111,433,705
192111,422,716
192111,443,698
192111,444,687
192112,453,683
192112,468,672
192112,484,656
192112,494,653
192112,523,637
192112,536,613
192112,571,529
192112,565,512
192112,557,489
192112,557,500
192112,558,497
192112,559,495
192112,559,494
192112,553,1079
192112,542,1079
192112,529,1079
192112,500,1079
192112,490,997
192112,483,922
192112,489,894
192112,503,846
192113,503,670
192113,705,572
192113,727,438
192113,792,429
192113,824,434
192113,915,452
192113,966,460
192113,995,463
192113,1003,464
192113,1011,465
192113,1128,478
192113,1209,499
192113,1355,509
192113,1406,510
192113,1458,508
192113,1456,506
192113,1436,503
192113,1414,495
192113,1411,497
192113,1414,499
192113,1415,507
192113,1426,510
192114,1501,512
192114,1556,516
192114,1588,514
192114,1640,501
192114,1665,494
192114,1682,475
192114,1694,460
192114,1716,444
192114,1702,449
192114,1702,449
192114,1702,448
192114,1677,688
192114,1384,1079
192114,1305,1079
192114,1116,1076
192114,487,1079
192114,469,1057
192114,438,1009
192114,407,887
192114,373,829
192114,338,767
192115,318,758
192115,326,750
192115,342,733
192115,342,730
192115,344,714
192115,361,685
192115,374,662
192115,391,632
192115,402,626
192115,414,623
192115,423,618
192115,440,593
192115,445,556
192115,443,537
192115,442,489
192115,441,468
192115,441,402
192115,440,378
192115,438,356
192115,431,355
192115,407,341
192116,401,359
192116,400,354
192116,399,352
192116,410,906
192116,438,1079
192116,506,1079
192116,534,935
192116,518,915
192116,500,867
192116,461,922
192116,395,797
192116,399,767
192116,422,751
192116,450,792
192116,487,792
192116,508,792
192116,546,789
192116,536,787
192116,520,714
192116,490,726
192116,477,736
192117,429,732
192117,398,733
192117,444,741
192117,504,734
192117,699,723
192117,765,721
192117,805,723
192117,930,727
192117,982,727
192117,1032,728
192117,1065,731
192117,1081,733
192117,1100,740
192117,1121,743
192117,1137,750
192117,1163,764
192117,1172,764
192117,1227,803
192117,1229,806
192117,1229,807
192117,1229,807
192117,1223,812
192118,1234,808
192118,1244,801
192118,1261,748
192118,1275,697
192118,1288,610
192118,1339,464
192118,1384,420
192118,1439,361
192118,958,345
192118,934,353
192118,786,372
192118,716,381
192118,649,396
192118,642,400
192118,604,400
192118,560,411
192118,537,414
192118,511,411
192118,495,410
192118,497,409
192118,489,408
192119,489,407
192119,487,406
192119,491,407
192119,493,409
192119,502,415
192119,516,420
192119,557,430
192119,561,431
192119,564,442
192119,575,966
192119,575,968
192119,575,969
192119,573,977
192119,572,993
192119,565,1015
192119,561,1021
192119,554,1034
192119,549,1058
192119,548,1065
192119,551,1071
192119,556,1071
192120,589,1067
192120,621,1063
192120,661,1076
192120,763,1079
192120,1270,1079
192120,1416,1079
192120,1481,1079
192120,1553,1079
192120,1570,1079
192120,1580,1079
192120,1608,1079
192120,1645,1079
192120,1657,1079
192120,1664,1079
192120,1659,1079
192120,1647,1079
192120,1643,1079
192120,1642,1076
192120,1652,1079
192120,1664,1079
192120,1675,1079
192120,1674,1079
192121,1675,1079
192121,1668,1079
192121,1650,1079
192121,1651,1079
192121,1652,1079
192121,1652,1079
192121,663,1042
192121,625,972
192121,478,754
192121,441,676
192121,415,596
192121,311,539
192121,270,458
192121,193,272
192121,196,206
192121,172,102
192121,136,115
192121,124,122
192121,119,99
192121,109,90
192121,97,99
192122,122,598
192122,161,589
192122,233,562
192122,274,556
192122,301,553
192122,355,523
192122,413,486
192122,439,375
192122,425,340
192122,421,273
192122,425,234
192122,420,198
192122,393,167
192122,383,175
192122,371,175
192122,374,86
192122,345,86
192122,345,122
192122,316,145
192122,326,175
192122,327,188
192123,657,182
192123,687,574
192123,671,602
192123,432,597
192123,423,596
192123,432,592
192123,422,617
192123,423,617
192123,430,594
192123,439,594
192123,482,603
192123,531,585
192123,556,37
192123,556,37
192123,603,0
192123,647,0
192123,708,0
192123,748,0
192123,801,0
192123,822,5
192123,858,29
192124,950,117
192124,987,142
192124,1062,215
192124,1107,250
192124,1140,283
192124,1192,293
192124,1224,288
192124,1264,294
192124,1346,284
192124,1359,274
192124,1339,238
192124,1327,202
192124,1270,187
192124,1236,194
192124,1237,196
192124,1254,433
192124,1259,467
192124,1259,475
192124,1254,454
192124,1257,213
192124,1256,195
192124,1260,176
192125,1263,139
192125,1278,144
192125,1320,146
192125,1407,128
192125,1455,127
192125,1513,125
192125,1530,130
192125,1562,133
192125,1608,129
192125,1631,129
192125,1674,123
192125,1699,122
192125,1708,117
192125,1710,115
192125,1701,126
192125,1268,313
192125,907,318
192125,898,311
192125,146,240
192125,168,199
192125,183,146
192126,201,123
192126,210,108
192126,277,117
192126,485,106
192126,503,109
192126,502,120
192126,519,132
192126,520,265
192126,548,279
192126,559,372
192126,575,549
192126,646,575
192126,783,623
192126,857,670
192126,914,680
192126,949,663
192126,1072,653
192126,1116,633
192126,1118,602
192126,1115,556
192126,1196,468
192127,1246,431
192127,1327,392
192127,1353,384
192127,1382,380
192127,1365,397
192127,1369,399
192127,1370,403
192127,1370,403
192127,163,969
192127,183,948
192127,223,927
192127,232,898
192127,247,796
192127,254,745
192127,258,716
192127,263,671
192127,268,648
192127,269,627
192127,281,585
192127,283,570
192127,319,546
192127,330,538
192128,374,533
192128,376,538
192128,376,538
192128,375,539
192128,374,539
192128,78,573
192128,35,614
192128,38,638
192128,42,657
192128,68,655
192128,92,651
192128,134,639
192128,136,631
192128,143,571
192128,154,477
192128,146,408
192128,146,408
192128,138,275
192128,126,272
192128,65,235
192128,65,224
192129,67,224
192129,83,546
192129,139,326
192129,127,367
192129,128,419
192129,131,431
192129,146,451
192129,164,450
192129,212,471
192129,244,470
192129,279,488
192129,269,498
192129,269,499
192129,270,495
192129,270,494
192129,271,493
192129,280,1079
192129,283,1079
192129,304,1079
192129,302,1079
192129,308,1056
192129,326,998
192130,340,958
192130,372,914
192130,382,915
192130,414,875
192130,423,814
192130,433,709
192130,428,642
192130,423,611
192130,421,600
192130,417,599
192130,417,589
192130,415,581
192130,421,575
192130,422,564
192130,433,555
192130,437,558
192130,454,561
192130,474,564
192130,502,571
192130,515,575
192130,525,606
192131,525,606
192131,531,956
192131,529,999
192131,526,1035
192131,528,1045
192131,536,1069
192131,536,1079
192131,535,1079
192131,529,1079
192131,527,1079
192131,523,1079
192131,517,1048
192131,504,882
192131,503,797
192131,495,681
192131,495,681
192131,493,592
192131,493,562
192131,491,544
192131,481,544
192131,473,542
192132,469,557
192132,471,559
192132,476,559
192132,476,878
192132,475,888
