Record Time,X Coordinate,Y Coordinate
203834326886 ,1677,605
203834344175 ,1680,606
203834361114 ,1680,606
203834378328 ,1685,607
203834395277 ,1693,607
203834412185 ,1693,607
203834429196 ,1701,604
203834446281 ,1701,604
203834463390 ,1703,587
203834480370 ,1703,587
203834497516 ,1705,579
203834514596 ,1705,579
203834531819 ,1702,563
203834549040 ,1702,563
203834566404 ,1702,573
203834583626 ,1702,573
203834600904 ,1703,575
203834618121 ,1674,572
203834635238 ,1674,572
203834652396 ,1674,572
203834669686 ,1061,545
203834686844 ,1061,545
203834704284 ,986,465
203834721381 ,986,465
203834738568 ,693,345
203834755772 ,693,345
203834772839 ,630,240
203834790128 ,630,240
203834807160 ,539,146
203834824424 ,539,146
203834841521 ,443,134
203834858894 ,373,79
203834876088 ,373,79
203834893316 ,355,64
203834910662 ,355,64
203834927712 ,334,34
203834945049 ,334,34
203834962736 ,336,32
203834979687 ,336,32
203834997043 ,305,53
203835014447 ,305,53
203835031403 ,298,55
203835048878 ,298,55
203835066088 ,298,55
203835083122 ,308,55
203835100369 ,293,61
203835117736 ,293,61
203835134808 ,346,66
203835152106 ,346,66
203835169337 ,432,76
203835186535 ,432,76
203835203567 ,498,95
203835220672 ,498,95
203835237890 ,566,115
203835254992 ,566,115
203835272211 ,617,128
203835289519 ,692,132
203835306779 ,692,132
203835323969 ,757,153
203835341095 ,757,153
203835358281 ,883,142
203835375419 ,883,142
203835392279 ,1002,128
203835409322 ,1002,128
203835426589 ,1002,128
203835443741 ,1085,134
203835460860 ,1085,134
203835477999 ,1103,133
203835495201 ,1103,133
203835511999 ,1044,127
203835529639 ,1044,127
203835546604 ,1011,125
203835563822 ,673,125
203835581169 ,673,125
203835598129 ,653,112
203835615242 ,653,112
203835632799 ,616,100
203835650280 ,616,100
203835667387 ,574,83
203835684796 ,574,83
203835701944 ,533,80
203835719084 ,533,80
203835736029 ,512,79
203835753276 ,533,87
203835770461 ,533,87
203835788201 ,550,86
203835805176 ,550,86
203835822189 ,550,86
203835839243 ,584,75
203835856420 ,584,75
203835873589 ,616,65
203835890773 ,616,65
203835907972 ,663,54
203835925065 ,663,54
203835942442 ,691,49
203835959908 ,691,49
203835977463 ,710,42
203835994687 ,722,29
203836012011 ,722,29
203836029290 ,767,25
203836046195 ,767,25
203836063392 ,808,12
203836080272 ,808,12
203836097227 ,860,5
203836114544 ,860,5
203836131766 ,929,0
203836148896 ,929,0
203836166092 ,961,0
203836183389 ,961,0
203836200390 ,669,0
203836217526 ,669,0
203836234753 ,669,0
203836252058 ,410,0
203836269190 ,388,0
203836286362 ,388,0
203836303450 ,330,0
203836320436 ,330,0
203836337480 ,35,0
203836354403 ,35,0
203836371782 ,21,0
203836389016 ,21,0
203836405999 ,10,0
203836422987 ,10,0
203836439917 ,19,0
203836457364 ,19,0
203836474504 ,32,0
203836491899 ,38,0
203836509165 ,38,0
203836526168 ,61,0
203836543309 ,61,0
203836560708 ,89,0
203836578118 ,89,0
203836595438 ,114,0
203836612636 ,114,0
203836629623 ,114,0
203836646582 ,159,0
203836663619 ,159,0
203836680918 ,184,0
203836697926 ,215,15
203836714817 ,215,15
203836731987 ,240,18
203836749290 ,240,18
203836766293 ,257,16
203836783421 ,257,16
203836800521 ,279,11
203836817565 ,279,11
203836834527 ,291,14
203836851597 ,291,14
203836868622 ,313,22
203836885620 ,313,22
203836902971 ,352,31
203836920074 ,352,31
203836937488 ,385,48
203836954586 ,410,53
203836971563 ,410,53
203836988777 ,413,60
203837006037 ,413,60
203837023090 ,413,60
203837040139 ,422,51
203837057272 ,422,51
203837074356 ,433,55
203837091566 ,433,55
203837108508 ,443,52
203837125660 ,443,52
203837142949 ,441,50
203837159978 ,441,50
203837177186 ,436,49
203837194222 ,435,49
203837211423 ,435,49
203837228400 ,428,48
203837245768 ,428,48
203837262771 ,419,53
203837279795 ,419,53
203837296730 ,410,55
203837313869 ,410,55
203837330985 ,405,58
203837348242 ,405,58
203837365442 ,394,61
203837382596 ,394,61
203837399980 ,394,61
203837417379 ,384,73
203837434392 ,380,83
203837451314 ,380,83
203837468724 ,379,103
203837485592 ,379,103
203837502817 ,377,119
203837519850 ,377,119
203837536938 ,376,149
203837554095 ,376,149
203837571360 ,379,159
203837588397 ,379,159
203837605484 ,383,175
203837622764 ,383,175
203837639933 ,398,193
203837657348 ,398,193
203837674465 ,456,179
203837691612 ,526,174
203837708912 ,526,174
203837725963 ,602,167
203837742873 ,602,167
203837760026 ,678,155
203837777353 ,678,155
203837794429 ,678,155
203837811537 ,754,118
203837828556 ,754,118
203837845866 ,795,85
203837863170 ,795,85
203837880203 ,834,67
203837897383 ,848,43
203837914432 ,848,43
203837931653 ,846,36
203837948781 ,846,36
203837966267 ,837,25
203837983495 ,837,25
203838000792 ,840,21
203838017712 ,840,21
203838034928 ,845,9
203838052033 ,845,9
203838069105 ,835,0
203838086119 ,835,0
203838103143 ,822,0
203838120224 ,822,0
203838137511 ,767,0
203838154802 ,663,0
203838171637 ,663,0
203838188794 ,663,0
203838205807 ,525,0
203838223059 ,525,0
203838240177 ,454,0
203838257302 ,454,0
203838274408 ,422,0
203838291604 ,422,0
203838309024 ,393,0
203838326263 ,393,0
203838343562 ,355,0
203838360583 ,355,0
203838377562 ,334,0
203838394596 ,321,0
203838411568 ,321,0
203838428774 ,319,3
203838445724 ,319,3
203838462847 ,321,80
203838480006 ,321,80
203838496959 ,334,155
203838513929 ,334,155
203838531364 ,327,210
203838548396 ,327,210
203838565500 ,327,258
203838582464 ,327,258
203838599802 ,327,258
203838617189 ,328,295
203838634325 ,321,323
203838651643 ,321,323
203838669015 ,318,342
203838686001 ,318,342
203838703281 ,320,371
203838720457 ,320,371
203838737455 ,319,404
203838754594 ,319,404
203838771680 ,322,411
203838788592 ,322,411
203838805972 ,321,433
203838823077 ,321,433
203838840428 ,323,450
203838857644 ,327,465
203838874563 ,327,465
203838891880 ,329,475
203838908816 ,329,475
203838926015 ,328,480
203838943147 ,328,480
203838960108 ,327,477
203838977036 ,327,477
203838994366 ,327,477
203839011412 ,320,467
203839028742 ,320,467
203839046062 ,321,465
203839063109 ,321,465
203839080344 ,318,471
203839097491 ,316,489
203839114858 ,316,489
203839132137 ,308,489
203839148973 ,308,489
203839166059 ,305,493
203839183188 ,305,493
203839200287 ,310,514
203839217416 ,310,514
203839234720 ,333,530
203839251741 ,333,530
203839269072 ,393,577
203839286190 ,393,577
203839303111 ,459,575
203839320073 ,459,575
203839337177 ,549,578
203839354372 ,549,578
203839371385 ,679,620
203839388656 ,679,620
203839405892 ,726,643
203839422896 ,726,643
203839440204 ,762,667
203839457352 ,762,667
203839474541 ,804,681
203839491587 ,804,681
203839508574 ,827,679
203839525626 ,827,679
203839542833 ,863,694
203839560021 ,863,694
203839576925 ,934,710
203839594049 ,1016,731
203839611013 ,1016,731
203839628272 ,1075,779
203839645373 ,1075,779
203839662477 ,1149,792
203839679518 ,1149,792
203839696629 ,1154,769
203839713793 ,1154,769
203839730814 ,1104,758
203839748017 ,1104,758
203839765393 ,1104,758
203839782485 ,575,237
203839799815 ,575,237
203839817254 ,554,236
203839834355 ,511,215
203839851476 ,511,215
203839868424 ,454,201
203839885897 ,454,201
203839903229 ,410,182
203839920524 ,410,182
203839937854 ,389,123
203839955122 ,389,123
203839972705 ,362,72
203839989813 ,362,72
203840006960 ,341,38
203840024519 ,341,38
203840041811 ,338,12
203840059165 ,346,11
203840076192 ,346,11
203840093370 ,351,27
203840110516 ,351,27
203840127591 ,357,24
203840144648 ,357,24
203840162033 ,357,24
203840179307 ,363,27
203840196726 ,363,27
203840213871 ,375,18
203840230911 ,375,18
203840247896 ,399,19
203840264944 ,399,19
203840281949 ,449,15
203840299166 ,499,7
203840316377 ,499,7
203840333408 ,551,0
203840350570 ,551,0
203840367592 ,589,0
203840384711 ,589,0
203840402029 ,626,0
203840419209 ,626,0
203840436463 ,673,0
203840453521 ,673,0
203840470628 ,706,0
203840487896 ,706,0
203840504901 ,744,0
203840522045 ,759,0
203840539494 ,759,0
203840556698 ,759,0
203840573797 ,775,0
203840590762 ,775,0
203840607853 ,791,0
203840625020 ,791,0
203840642203 ,816,0
203840659141 ,816,0
203840676453 ,824,0
203840693817 ,824,0
203840711044 ,823,0
203840728149 ,823,0
203840745169 ,819,0
203840762497 ,819,0
203840779346 ,819,0
203840796480 ,820,17
203840813408 ,820,17
203840830592 ,811,34
203840847722 ,811,34
203840864615 ,804,65
203840881745 ,804,65
203840898687 ,794,86
203840915704 ,794,86
203840932811 ,792,112
203840950189 ,792,112
203840967195 ,792,112
203840984468 ,794,118
203841001566 ,792,108
203841018740 ,792,108
203841036385 ,794,101
203841053220 ,794,101
203841070232 ,796,97
203841087700 ,796,97
203841104884 ,797,96
203841121767 ,797,96
203841139015 ,801,95
203841156517 ,801,95
203841173434 ,810,94
203841190462 ,810,94
203841207565 ,825,93
203841224644 ,825,93
203841241686 ,842,93
203841258706 ,861,92
203841275982 ,861,92
203841292912 ,869,96
203841310129 ,869,96
203841327333 ,869,96
203841344495 ,889,101
203841361501 ,889,101
203841378678 ,897,111
203841395912 ,897,111
203841413140 ,902,121
203841430364 ,902,121
203841447611 ,908,140
203841464558 ,921,160
203841481788 ,921,160
203841499072 ,949,184
203841516030 ,949,184
203841533220 ,980,207
203841550204 ,980,207
203841567306 ,995,222
203841584653 ,995,222
203841602103 ,1015,244
203841619145 ,1015,244
203841636311 ,1041,273
203841653338 ,1041,273
203841670486 ,1066,288
203841687561 ,1066,288
203841704895 ,1084,286
203841721862 ,1084,286
203841738994 ,1084,286
203841756341 ,1104,293
203841773572 ,1124,304
203841790781 ,1124,304
203841807710 ,1146,310
203841824769 ,1146,310
203841841883 ,1172,306
203841859075 ,1172,306
203841876390 ,1185,319
203841893571 ,1185,319
203841910703 ,1178,369
203841927813 ,1178,369
203841944735 ,1170,462
203841961841 ,1159,566
203841979009 ,1159,566
203841996368 ,1100,642
203842013345 ,1100,642
203842030386 ,1043,619
203842047519 ,1043,619
203842064512 ,960,604
203842081470 ,960,604
203842098572 ,900,589
203842115703 ,900,589
203842132737 ,900,589
203842149769 ,815,577
203842166978 ,815,577
203842184083 ,722,570
203842201487 ,722,570
203842218506 ,622,546
203842235502 ,492,492
203842252826 ,492,492
203842270031 ,414,439
203842287464 ,414,439
203842304667 ,342,394
203842321841 ,342,394
203842338806 ,326,377
203842355861 ,326,377
203842373279 ,292,347
203842390416 ,292,347
203842407827 ,265,329
203842424985 ,265,329
203842442136 ,253,302
203842459227 ,249,276
203842476239 ,249,276
203842493407 ,247,216
203842510328 ,247,216
203842527724 ,247,216
203842544733 ,241,180
203842561964 ,241,180
203842579090 ,236,151
203842596306 ,236,151
203842613190 ,228,133
203842630304 ,228,133
203842647477 ,232,125
203842664690 ,232,125
203842681843 ,226,136
203842698869 ,222,152
203842715980 ,222,152
203842733059 ,226,165
203842750176 ,226,165
203842767288 ,228,187
203842784400 ,228,187
203842801797 ,228,207
203842818939 ,228,207
203842836212 ,229,227
203842853370 ,229,227
203842870659 ,229,239
203842887812 ,229,239
203842904871 ,233,246
203842922106 ,233,246
203842939543 ,238,247
203842956664 ,238,247
203842973703 ,241,267
203842991051 ,241,267
203843008197 ,242,279
203843025242 ,242,279
203843042350 ,241,274
203843059757 ,241,274
203843076788 ,237,276
203843094102 ,237,276
203843111327 ,236,276
203843128380 ,236,276
203843145395 ,234,276
203843162424 ,232,278
203843179264 ,232,278
203843196313 ,230,278
203843213311 ,230,278
203843230397 ,228,276
203843247585 ,228,276
203843264613 ,228,278
203843281672 ,228,278
203843298613 ,228,278
203843315635 ,231,279
203843333052 ,231,279
203843350225 ,240,278
203843367443 ,240,278
203843384965 ,249,279
203843402337 ,249,279
203843419546 ,264,280
203843436653 ,269,280
203843453701 ,269,280
203843471025 ,273,280
203843488246 ,273,280
203843505356 ,284,279
203843522238 ,284,279
203843539588 ,294,278
203843556741 ,294,278
203843573850 ,303,276
203843590732 ,303,276
203843607679 ,308,275
203843624729 ,308,275
203843642112 ,304,273
203843659217 ,301,273
203843676314 ,301,273
203843693357 ,301,273
203843710501 ,293,270
203843727571 ,293,270
203843744654 ,292,266
203843761495 ,292,266
203843778405 ,293,267
203843795734 ,293,267
203843813108 ,300,280
203843830016 ,300,280
203843847486 ,336,304
203843864534 ,336,304
203843881518 ,387,331
203843898656 ,451,371
203843916024 ,451,371
203843933228 ,500,389
203843950251 ,500,389
203843967314 ,549,432
203843984724 ,549,432
203844002189 ,598,495
203844019352 ,598,495
203844036481 ,618,520
203844053545 ,618,520
203844071157 ,654,539
203844088534 ,654,539
203844105563 ,654,539
203844122561 ,668,553
203844139690 ,666,546
203844156657 ,666,546
203844173918 ,673,539
203844191217 ,673,539
203844208222 ,665,539
203844225261 ,665,539
203844242356 ,671,531
203844259579 ,671,531
203844276759 ,663,516
203844293860 ,663,516
203844310873 ,622,457
203844328321 ,622,457
203844345317 ,559,381
203844362323 ,492,306
203844379677 ,492,306
203844396817 ,434,257
203844414079 ,434,257
203844431252 ,390,190
203844448256 ,390,190
203844465497 ,361,172
203844482588 ,361,172
203844499639 ,361,172
203844516578 ,354,106
203844533712 ,354,106
203844551195 ,349,85
203844568330 ,349,85
203844585657 ,341,68
203844602917 ,345,63
203844620043 ,345,63
203844637171 ,356,27
203844654413 ,356,27
203844671756 ,372,28
203844688743 ,372,28
203844705926 ,389,20
203844723114 ,389,20
203844740222 ,411,16
203844757421 ,411,16
203844774495 ,432,20
203844791725 ,432,20
203844808726 ,475,12
203844825913 ,475,12
203844843235 ,516,11
203844860361 ,552,8
203844877838 ,552,8
203844895043 ,552,8
203844912153 ,573,14
203844929295 ,573,14
203844946550 ,561,19
203844963418 ,561,19
203844980565 ,557,64
203844997616 ,557,64
203845014834 ,548,130
203845031744 ,548,130
203845048792 ,531,206
203845065994 ,512,282
203845083686 ,512,282
203845100919 ,501,333
203845117865 ,501,333
203845135039 ,485,383
203845152416 ,485,383
203845169530 ,466,438
203845186865 ,466,438
203845203868 ,474,487
203845221029 ,474,487
203845238308 ,481,513
203845255342 ,481,513
203845272355 ,481,513
203845289373 ,491,540
203845306401 ,492,549
203845323409 ,492,549
203845340433 ,500,569
203845357442 ,500,569
203845374354 ,500,578
203845391206 ,500,578
203845408319 ,504,575
203845425342 ,504,575
203845443109 ,511,595
203845460293 ,511,595
203845477289 ,514,600
203845494326 ,514,600
203845511501 ,525,599
203845528600 ,525,599
203845545802 ,533,590
203845562986 ,549,593
203845579992 ,549,593
203845597288 ,543,595
203845614488 ,543,595
203845631464 ,531,592
