Record Time,X Coordinate,Y Coordinate
204525391266 ,1400,631
204525408603 ,1397,625
204525425820 ,1397,625
204525442768 ,1390,619
204525459838 ,1390,619
204525476947 ,1358,606
204525493969 ,1358,606
204525510908 ,1294,576
204525528398 ,1199,563
204525545773 ,1199,563
204525563139 ,1121,546
204525580426 ,1121,546
204525597399 ,1073,525
204525614402 ,1073,525
204525631620 ,1073,525
204525649016 ,986,496
204525666113 ,986,496
204525683237 ,949,480
204525700352 ,949,480
204525717644 ,904,469
204525734822 ,882,457
204525751774 ,882,457
204525769005 ,844,454
204525786038 ,844,454
204525803192 ,804,449
204525820582 ,804,449
204525837662 ,780,463
204525854722 ,780,463
204525872079 ,774,473
204525889115 ,774,473
204525906354 ,775,479
204525923544 ,775,479
204525940836 ,790,484
204525957949 ,790,484
204525975074 ,790,528
204525992058 ,790,528
204526009294 ,927,1079
204526026485 ,927,1079
204526043561 ,893,1079
204526061130 ,893,1079
204526078306 ,832,1079
204526095397 ,832,1079
204526112551 ,740,1079
204526129450 ,740,1079
204526146358 ,655,1079
204526163521 ,655,1079
204526180431 ,495,587
204526197667 ,495,587
204526214877 ,464,538
204526232118 ,469,488
204526249326 ,469,488
204526266323 ,442,436
204526283701 ,442,436
204526301056 ,429,371
204526318246 ,429,371
204526335315 ,429,371
204526352283 ,409,304
204526369194 ,409,304
204526386415 ,406,250
204526403426 ,406,250
204526420573 ,400,190
204526437875 ,400,190
204526455027 ,395,149
204526472149 ,390,113
204526489340 ,390,113
204526506558 ,389,92
204526523796 ,389,92
204526540989 ,394,81
204526558101 ,394,81
204526575175 ,400,61
204526592491 ,400,61
204526609915 ,404,49
204526627439 ,404,49
204526644843 ,412,35
204526661939 ,412,35
204526679051 ,412,35
204526696415 ,430,13
204526713440 ,449,13
204526730819 ,449,13
204526748008 ,472,0
204526764877 ,472,0
204526781901 ,482,0
204526798892 ,482,0
204526816427 ,512,0
204526833850 ,512,0
204526850843 ,533,0
204526867962 ,533,0
