Record Time,X Coordinate,Y Coordinate
202326811666 ,1682,817
202326828640 ,1682,817
202326845772 ,1682,816
202326862756 ,1682,816
202326879774 ,1681,816
202326896909 ,1681,816
202326914126 ,1681,816
202326931416 ,1695,852
202326948460 ,1688,895
202326965758 ,1688,895
202326982970 ,1684,910
202327000100 ,1684,910
202327017112 ,1667,915
202327034342 ,1667,915
202327051883 ,1658,924
202327069038 ,1658,924
202327086234 ,1642,932
202327103366 ,1642,932
202327120319 ,1642,939
202327137501 ,1642,939
202327154896 ,1651,944
202327171908 ,1651,944
202327189140 ,1651,944
202327206550 ,1656,941
202327223545 ,1656,941
202327240493 ,1656,941
202327257612 ,1656,937
202327274728 ,1656,937
202327291718 ,729,1079
202327308738 ,729,1079
202327325640 ,700,982
202327342970 ,700,982
202327360106 ,654,828
202327377330 ,654,828
202327394216 ,598,769
202327411243 ,566,721
202327428593 ,566,721
202327445743 ,540,654
202327462967 ,540,654
202327480333 ,567,997
202327497439 ,567,997
202327514679 ,641,1079
202327531922 ,641,1079
202327549138 ,961,1079
202327566283 ,961,1079
202327583449 ,928,1079
202327600508 ,928,1079
202327617690 ,928,1079
202327634837 ,927,1079
202327652089 ,883,992
202327669365 ,883,992
202327686666 ,654,57
202327703693 ,654,57
202327720892 ,648,56
202327738065 ,648,56
202327755109 ,644,31
202327772265 ,644,31
202327789522 ,657,0
202327806536 ,657,0
202327823785 ,707,0
202327840845 ,707,0
202327858098 ,745,0
202327875189 ,809,0
202327892213 ,809,0
202327909500 ,899,0
202327926932 ,899,0
202327943790 ,899,0
202327961020 ,1015,0
202327978559 ,1015,0
202327995754 ,1066,0
202328013121 ,1066,0
202328030303 ,1092,0
202328047215 ,1092,0
202328064265 ,1101,0
202328081243 ,1101,0
202328098534 ,1098,0
202328115543 ,1102,0
202328132345 ,1102,0
202328149659 ,1100,0
202328166753 ,1100,0
202328184157 ,1100,0
202328201487 ,1100,0
202328218694 ,1099,0
202328235896 ,1099,0
202328252862 ,1099,0
202328270145 ,1099,0
202328287245 ,1098,0
202328304560 ,1098,0
202328321595 ,1098,0
202328338685 ,224,115
