Record Time,X Coordinate,Y Coordinate
201839064947 ,395,249
201839081918 ,378,234
201839099068 ,378,234
201839116231 ,368,247
201839133327 ,368,247
201839150397 ,368,247
201839167610 ,352,248
201839184712 ,352,248
201839202065 ,352,251
201839219155 ,355,259
201839236352 ,355,259
201839253525 ,353,263
201839270853 ,353,263
201839288014 ,353,265
201839305322 ,353,265
201839322470 ,354,267
201839339658 ,354,267
201839356829 ,354,269
201839373961 ,354,269
201839391142 ,354,271
201839408321 ,354,271
201839425670 ,667,757
201839442765 ,688,730
201839459770 ,688,730
201839476989 ,713,714
201839494508 ,713,714
201839511827 ,713,714
201839529012 ,730,656
201839545853 ,730,656
201839563175 ,728,609
201839580415 ,728,609
201839597763 ,736,570
201839614946 ,736,570
201839632010 ,724,537
201839649109 ,724,537
201839666458 ,718,510
201839683670 ,735,469
201839700871 ,735,469
201839718047 ,740,441
201839735277 ,740,441
201839752675 ,784,436
201839769791 ,784,436
201839786950 ,805,420
201839804070 ,805,420
201839821045 ,812,399
201839838171 ,812,399
201839855234 ,812,399
201839872261 ,851,382
201839889290 ,851,382
201839906276 ,869,371
201839923498 ,870,361
201839940565 ,870,361
201839957723 ,868,349
201839974885 ,868,349
201839991959 ,870,360
201840009441 ,870,360
201840026515 ,866,369
201840043548 ,866,369
201840060865 ,862,378
201840078392 ,862,378
201840095608 ,853,386
201840112739 ,853,386
201840129725 ,853,387
201840146738 ,886,379
201840163786 ,886,379
201840180777 ,913,370
201840198220 ,913,370
201840215345 ,913,370
201840232394 ,945,362
201840249688 ,945,362
201840266760 ,944,364
201840283856 ,944,364
201840300911 ,963,362
201840318102 ,963,362
201840335152 ,980,379
201840352551 ,980,379
201840369679 ,993,407
201840386815 ,993,407
201840403721 ,986,434
201840420863 ,968,451
201840437679 ,968,451
201840454879 ,687,532
201840471881 ,687,532
201840489096 ,470,613
201840506460 ,470,613
201840523675 ,456,620
201840540743 ,456,620
201840557742 ,456,620
201840574722 ,450,633
201840591895 ,450,633
201840609206 ,453,630
201840626329 ,471,628
201840643321 ,471,628
201840660559 ,866,522
201840678000 ,866,522
201840695279 ,880,518
201840712557 ,880,518
201840729694 ,900,514
201840746756 ,900,514
201840763907 ,942,505
201840781119 ,942,505
201840798425 ,984,495
201840815326 ,984,495
201840832766 ,999,493
201840849950 ,984,497
201840866870 ,984,497
201840884228 ,538,616
201840901247 ,538,616
201840918374 ,538,616
201840935446 ,529,610
201840952599 ,529,610
201840969768 ,518,611
201840986874 ,518,611
201841003908 ,499,611
201841020933 ,499,611
201841037848 ,482,613
201841054695 ,482,613
201841071721 ,470,603
201841088947 ,470,603
201841106023 ,452,595
201841123227 ,448,586
201841140275 ,448,586
201841157972 ,448,581
201841174876 ,448,581
201841192294 ,446,572
201841209304 ,446,572
201841226581 ,443,572
201841243676 ,443,572
201841260803 ,443,572
