timestamp,x,y,velocity,threshold,classification
170649,1346,931,0.0,4461.985094995625,fixation
170649,1319,914,638.1222453417527,4432.75488272405,fixation
170649,1318,872,840.2380615040001,4403.525292533841,fixation
170650,1329,778,1892.8285712129348,4374.342315329202,fixation
170650,1332,655,2460.7315985291852,4345.229839453823,fixation
170650,1346,481,3491.2461958446875,4316.198527092016,fixation
170650,1393,439,1260.6347607455539,4287.258289732759,fixation
170650,1442,407,1170.4699910719626,4258.433180267992,fixation
170650,1468,1079,13450.055761966192,4229.775104781415,saccade
170650,1467,1079,20.0,4201.372423971966,fixation
170650,1466,1079,20.0,4173.348434988787,fixation
170650,1510,1079,880.0,4145.847116977888,fixation
170650,1632,946,3609.5983156024436,4119.007926362248,fixation
170650,1763,688,5787.054518492115,4092.936075959724,saccade
170650,1813,596,2094.182418033348,4067.6779482003967,fixation
170650,1881,444,3330.345327439784,4043.210719006942,fixation
170650,1829,525,1925.0974001333022,4019.450578741799,fixation
170650,1310,677,10816.006656802685,3996.276385112255,saccade
170650,1341,357,6429.961119633617,3973.56040628335,saccade
170650,696,229,13151.562644796244,3951.195554608784,saccade
170650,699,85,2880.624932197873,3929.1117232213437,fixation
170650,700,58,540.3702434442519,3907.2784126174192,fixation
170650,705,19,786.3841300535,3885.697303242693,fixation
170651,1350,47,12912.149317600071,3864.3895770427375,saccade
170651,1503,62,3074.6707140765493,3843.383030630827,fixation
170651,1594,76,1841.4125013152266,3822.7025775796683,fixation
170651,1717,97,2495.5961211702506,3802.364496841519,fixation
170651,1745,108,601.6643582596529,3782.37417642143,fixation
170651,1807,126,1291.2009913255179,3762.726175755819,fixation
170651,1813,136,233.23807579381202,3743.4066005539657,fixation
170651,1796,153,480.8326112068523,3724.3958853343593,fixation
170651,1792,166,272.02941017470886,3705.6733388766343,fixation
170651,1791,169,63.245553203367585,3687.221075855856,fixation
170651,1791,176,140.0,3669.027695848687,fixation
170651,1798,192,349.2849839314596,3651.0909511907257,fixation
170651,1798,201,180.0,3633.419387871798,fixation
170651,1804,231,611.8823416311342,3616.033896591977,fixation
170651,1810,241,233.23807579381202,3598.970445290808,fixation
170651,1810,259,360.0,3582.2851395761927,fixation
170651,1804,261,126.49110640673517,3566.062721865965,fixation
170651,1792,267,268.32815729997475,3550.4263186154385,fixation
170651,1785,272,172.04650534085252,3535.5461436884425,fixation
170652,1775,279,244.13111231467403,3521.6387556750583,fixation
170652,1782,286,197.98989873223329,3508.9480989852013,fixation
170652,1801,332,995.3893710503443,3497.701229228176,fixation
170652,1818,351,509.9019513592785,3488.038358621315,fixation
170652,1827,359,240.8318915758459,3479.936165551389,fixation
170652,1827,358,20.0,3473.1542521562083,fixation
170652,1811,382,576.8882040742383,3467.2366444901872,fixation
170652,1802,391,254.5584412271571,3461.582756314442,fixation
170652,1803,429,760.2631123499284,3455.574364070776,fixation
170652,1793,424,223.60679774997897,3455.7713112372858,fixation
170652,1747,431,930.5912099305473,3454.0637027438374,fixation
170652,1729,434,364.96575181789314,3449.6739742719947,fixation
170652,1725,448,291.2043955712207,3441.975947425922,fixation
170652,1735,443,223.60679774997897,3430.440258990634,fixation
170652,1730,445,107.70329614269006,3414.594018209482,fixation
170652,1719,448,228.03508501982756,3393.9952964986905,fixation
170652,1705,427,504.7771785649585,3368.2120786689293,fixation
170652,1698,402,519.2301994298867,3336.768828900772,fixation
170652,1692,369,670.8203932499368,3299.079531337942,fixation
170652,1692,362,140.0,3254.3712424831538,fixation
170652,1613,355,1586.190404711868,3201.6365453065196,fixation
170653,1558,350,1104.536101718726,3139.654929614898,fixation
170653,1406,349,3040.0657887618154,3067.0761272803984,fixation
170653,1379,394,1049.571341072154,2982.647492759228,fixation
170653,1281,407,1977.1696942852425,2885.482587628411,fixation
170653,1198,405,1660.4818577750252,2775.3654520084992,fixation
170653,1138,397,1210.6196760337245,2653.032349900942,fixation
170653,1116,432,826.8010643437755,2520.3491989133327,fixation
170653,1118,475,860.9297300012353,2380.3604007378835,fixation
170653,1121,499,483.73546489791295,2237.1707949479114,fixation
170653,1099,547,1056.0303025955268,2095.704241506056,fixation
170653,1079,565,538.1449618829483,1961.3304987467466,fixation
170653,1052,591,749.6665925596525,1839.3778428210462,fixation
170653,1019,647,1300.0,1734.5085853111464,fixation
170653,1019,673,520.0,1649.9608050593065,fixation
170653,1008,711,791.2016177940992,1586.8123539342039,fixation
170653,1010,698,263.05892875931806,1543.6451847839237,fixation
170653,1012,696,56.568542494923804,1516.9822905509882,fixation
170653,1015,691,116.61903789690601,1502.3720451869822,fixation
170653,1039,699,505.9644256269407,1495.5149326203682,fixation
170653,1078,719,876.584280032445,1492.9961364081628,fixation
170653,1108,740,732.3933369440222,1492.4639086713378,fixation
170653,1115,742,145.60219778561034,1492.5002977443758,fixation
170654,1168,747,1064.7065323364932,1492.3751700312434,fixation
170654,1189,745,421.90046219457975,1491.8062652603453,fixation
170654,1215,724,668.4309986827361,1490.765889068454,fixation
170654,1210,691,667.5327707311454,1489.3434855363425,fixation
170654,1188,593,2008.780724718355,1487.652935514892,saccade
170654,1172,579,425.20583250938597,1485.7855891679033,fixation
170654,1164,555,505.9644256269407,1483.7872567570746,fixation
170654,1150,501,1115.7060544785081,1481.671348503823,fixation
170654,1135,482,484.14873747640814,1479.4358598497631,fixation
170654,1130,484,107.70329614269006,1477.088830248837,fixation
170654,1106,458,707.6722405181653,1474.6648868774917,fixation
170654,1098,473,340.0,1472.2353901949728,fixation
170654,1037,958,9776.420612882815,1469.8963790553491,saccade
