被験者,解答時間(s),平均速度(px/s),切り替え回数,サッケードの割合(％),平均サッケード振幅(px),最大サッケード振幅(px),視線の分布(px),視線パスのフラクタル次元,平均視線パス直線性
J1-01,311.887596,901.92944881712,5301,16.634887617726932,74.09650384928638,1245.90609597995,390.58519211298795,119.64744785327325,0.1486609415515995
J1-02,,,,,,,,,
J2-01,286.9693,571.8293085512071,5718,19.036334913112167,42.705046474736264,986.6306299725344,376.1629976159598,74.55789266247497,0.13326337880377753
J2-02,320.778173,933.3477944809341,4909,15.293189883399988,84.73529192044914,1440.03472180361,417.2389132792079,127.05194731703303,0.16577969402165657
J2-03,175.149167,1212.8207855506469,3068,17.145495587933514,99.45250679801272,1122.5992161051959,457.782121880558,90.98239434899517,0.1395045632333768
J2-04,173.400167,906.6066606311618,3174,17.683358624178048,71.43550217954694,868.0696976625783,418.55741207948057,73.77547522588975,0.1575299306868305
J2-05,492.379923,970.1589015163588,8360,17.986535393236565,75.96689882810846,1027.3796766531837,453.26282605101255,190.89741057744925,0.16714762751722384
J2-06,372.512386,1014.8927613157372,5199,13.999217374290746,98.15538240474336,1200.7805794565468,473.8767416856893,163.24942136490407,0.1519815313582147
J2-07,232.183895,1071.8578589770666,3872,16.297786720321934,89.50043439742653,1129.8088333873125,428.4596171060696,117.04743485176368,0.14772727272727273
J2-08,203.676385,849.2755355886626,3694,17.475895316804408,69.58378719275667,841.4564754044026,452.0763899209671,77.71982692756556,0.1537628586897672
J2-09,348.621489,1167.4817020917899,4878,14.544250717280955,111.64208257276526,1475.57446440361,419.12347546231416,171.71464358294074,0.13899138991389914
J2-10,,,,,,,,,
J3-01,280.633736,1251.4838387593704,4386,14.746742070322105,114.86759026835188,854.6870772393836,420.84439766851216,178.5280954520928,0.15093479252165984
J3-02,320.064847,811.1911017654204,6763,20.112002584675032,57.63231910184281,755.028476284173,379.1106966318229,119.37573032736988,0.15498373262348417
J3-03,185.010402,1064.3774512630675,2803,15.194869264923533,95.97069267659137,1010.1965155354675,428.69346459685283,99.9651109558438,0.14346895074946467
J3-04,,,,,,,,,
J3-05,223.726795,470.3520471631926,4830,20.66115702479339,32.81356834478317,658.7085850359019,313.9756386666165,46.818435281505636,0.16107660455486542
J3-06,223.726795,470.3520471631926,4830,20.66115702479339,32.81356834478317,658.7085850359019,313.9756386666165,46.818435281505636,0.16107660455486542
J3-07,,,,,,,,,
J3-08,167.586,1026.9131466008473,3268,18.59087602618726,77.1121355433755,808.5944595407515,448.5313817646973,89.13320607037487,0.1383108935128519
J3-09,221.010494,935.2040057923774,4118,17.976105704565235,72.3672997890345,939.9957446712192,447.215530427635,96.73573173741603,0.16367168528411852
J3-10,219.821501,813.807566414653,3970,17.52749880439981,64.90564053725777,1130.7630167280852,396.6789317839833,83.9227198527549,0.1611901177677312
J3-11,235.571989,951.1760274778861,3103,12.846559230122967,97.28173352615025,944.8391397481372,466.0848197842522,97.26384798605673,0.13862024500322373
J3-12,194.717093,853.2535955872869,3862,19.075765717356262,63.120000255615246,1037.3822824783542,429.47327368504625,90.62156110850702,0.14914552045572244
J3-13,280.140201,900.831496308285,5268,18.262649523443997,69.41333231478798,1080.8894485561416,392.53427816249,109.28046668714816,0.1480637813211845
J3-14,251.515526,932.7698373527243,4658,17.61079525994931,72.75536350903137,1076.1858575543538,449.06280145340094,107.86386702835489,0.1494203520824388
