timestamp,x,y,velocity,threshold,classification
155344,648,563,0.0,1217.9697464075061,fixation
155344,647,564,28.284271247461902,1207.2231043668392,fixation
155344,646,564,20.0,1196.6820134462378,fixation
155345,644,568,89.44271909999159,1186.3413124887074,fixation
155345,642,576,164.9242250247064,1176.1964413628593,fixation
155345,645,586,208.806130178211,1166.2456691666273,fixation
155345,645,586,0.0,1156.4948343153565,fixation
155345,645,586,0.0,1146.9662775405081,fixation
155345,1324,451,13845.808029869544,1137.7134285716938,saccade
155345,1331,376,1506.5191668213185,1128.8412666407364,saccade
155345,1363,269,2233.6517185989405,1120.529584437558,saccade
155345,1378,231,817.0679286326198,1113.0506905058355,fixation
155345,1379,219,240.8318915758459,1106.767398613222,fixation
155345,1390,203,388.32975677895195,1102.0954946437248,fixation
155345,1393,196,152.31546211727817,1099.4211866711576,fixation
155345,1395,196,40.0,1098.9830787239366,fixation
155345,1402,186,244.13111231467403,1100.7550576079066,fixation
155345,1404,183,72.11102550927978,1104.3778994046106,fixation
155345,1406,176,145.60219778561034,1109.1857336107553,fixation
155345,1406,171,100.0,1114.330517223673,fixation
155345,1406,161,200.0,1118.9673968059105,fixation
155345,1405,160,28.284271247461902,1122.4325413796312,fixation
155345,1404,161,28.284271247461902,1124.3536836870032,fixation
155345,1401,161,60.0,1124.666817433081,fixation
155346,1397,160,82.4621125123532,1123.5520737852328,fixation
155346,1393,159,82.4621125123532,1121.3293957407045,fixation
155346,1390,160,63.245553203367585,1118.3585573905978,fixation
155346,1379,160,220.0,1114.9718883111482,fixation
155346,1373,159,121.65525060596438,1111.4443811403012,fixation
155346,1364,158,181.10770276274835,1107.9870745015648,fixation
155346,1361,158,60.0,1104.745666932794,fixation
155346,1350,157,220.90722034374522,1101.7941822133002,fixation
155346,1346,156,82.4621125123532,1099.1262647424087,fixation
155346,1338,155,161.24515496597098,1096.6548799579123,fixation
155346,1336,153,56.568542494923804,1094.229575664489,fixation
155346,1330,151,126.49110640673517,1091.6720550067898,fixation
155346,1328,149,56.568542494923804,1088.8202227712434,fixation
155346,1323,148,101.98039027185568,1085.5659217844486,fixation
155346,1320,144,100.0,1081.874186012247,fixation
155346,1318,144,40.0,1077.7802540852258,fixation
155346,1316,144,40.0,1073.3690035483633,fixation
155346,1314,144,40.0,1068.746516774791,fixation
155346,1313,144,20.0,1064.0150033654386,fixation
155346,1313,144,0.0,1059.2566091546976,fixation
155346,1314,143,28.284271247461902,1054.527407526757,fixation
155346,1314,142,20.0,1049.859091506066,fixation
155347,1314,141,20.0,1045.2646132436969,fixation
155347,1315,141,20.0,1040.7446263273573,fixation
155347,1317,139,56.568542494923804,1036.2928863595628,fixation
155347,1317,139,0.0,1031.9000994407165,fixation
155347,1316,139,20.0,1027.5565693869944,fixation
155347,1315,137,44.721359549995796,1022.532185119612,fixation
155347,1314,136,28.284271247461902,1016.3525924394551,fixation
155347,1313,136,20.0,1007.8095628571905,fixation
155347,1314,135,28.284271247461902,995.4905604360472,fixation
155347,1314,135,0.0,977.9328372238729,fixation
155347,1311,134,63.245553203367585,953.9340224899167,fixation
155347,1309,134,40.0,922.9261336540545,fixation
155347,1308,132,44.721359549995796,885.2887579446183,fixation
155347,1307,132,20.0,842.4942476380376,fixation
155347,1306,131,28.284271247461902,797.0188235935778,fixation
155347,1304,132,44.721359549995796,751.9999114665391,fixation
155347,1304,131,20.0,710.6699568909041,fixation
155347,1305,130,28.284271247461902,675.6902613804018,fixation
155347,1305,131,20.0,648.5201774751108,fixation
155347,1305,145,280.0,629.2200413727537,fixation
155347,1305,227,1640.0,616.6785392131715,saccade
155348,1300,380,3061.633550900565,609.2014352618346,saccade
155348,1299,484,2080.0961516237658,605.0967042066811,saccade
155348,1299,581,1940.0,603.0181831006173,saccade
155348,1299,622,820.0,602.0514150442798,saccade
155348,1300,631,181.10770276274835,601.6470710019486,fixation
155348,1304,640,196.97715603592206,601.5075048859535,fixation
155348,1307,656,325.5764119219941,601.4852630159622,fixation
155348,1309,668,243.31050121192877,601.5125760635343,fixation
155348,1311,674,126.49110640673517,601.5597343513696,fixation
155348,1314,687,266.8332812825267,601.6136195320832,fixation
155348,1314,692,100.0,601.6679199251646,fixation
155348,1317,698,134.16407864998737,601.7192806275638,fixation
155348,1318,703,101.98039027185568,601.7659951350465,fixation
155348,1308,716,328.0243893371345,601.8076232005128,fixation
155348,1282,739,694.2621983083912,601.8442551369562,saccade
155348,1222,778,1431.2232530251874,601.876550356621,saccade
155348,1165,833,1584.171707865028,601.9049629030178,saccade
155348,1143,856,636.5532185135819,601.9294691324492,saccade
155348,1107,889,976.7292357659824,601.949258708221,saccade
155348,1098,901,300.0,601.9626862129907,fixation
155348,1087,920,439.089968002003,601.9673909719687,fixation
155349,1086,927,141.4213562373095,601.9604940177089,fixation
155349,1082,937,215.40659228538013,601.9390128602574,fixation
155349,1083,947,200.9975124224178,601.9002206308538,fixation
155349,1084,953,121.65525060596438,601.8421629616741,fixation
155349,1083,959,121.65525060596438,601.7639641157328,fixation
155349,1083,963,80.0,601.6658039127674,fixation
155349,1082,965,44.721359549995796,601.5483397845381,fixation
155349,1080,971,126.49110640673517,601.411778301025,fixation
155349,1078,974,72.11102550927978,601.2552828490489,fixation
155349,1073,981,172.04650534085252,601.0778040576879,fixation
155349,1070,982,63.245553203367585,600.881336489103,fixation
155349,1068,985,72.11102550927978,600.6771853478426,fixation
155349,1066,989,89.44271909999159,600.4956328502537,fixation
155349,1067,990,28.284271247461902,600.3959387769839,fixation
