timestamp,x,y,velocity,threshold,classification
194104,543,519,0.0,2766.0347095395655,fixation
194104,541,506,263.05892875931806,2765.4269516862987,fixation
194104,477,511,1283.9003076563226,2768.5314461184457,fixation
194105,310,425,3756.860391337426,2773.424576801852,saccade
194105,242,373,1712.0747647226156,2777.9504253466575,fixation
194105,199,318,1396.2807740565647,2780.237454553191,fixation
194105,130,300,1426.1837188805653,2779.0782814193153,fixation
194105,121,280,438.63424398922615,2774.0791278477686,fixation
194105,166,251,1070.7007051459339,2765.588861855718,fixation
194105,204,201,1256.0254774486066,2754.480821588968,fixation
194105,402,194,3962.4739746779405,2741.8794120648163,saccade
194105,550,168,3005.3286010018937,2728.90818845574,saccade
194105,643,157,1872.9655629509048,2716.5054017664825,fixation
194105,812,117,3473.384516577455,2705.322488617689,saccade
194105,921,116,2180.0917411888886,2695.6985081439843,fixation
194105,1003,104,1657.4679484080527,2687.6920771021305,fixation
194105,1003,62,840.0,2681.146742024718,fixation
194105,957,64,920.869154657707,2675.7698876431946,fixation
194105,856,24,2172.6481537515456,2671.2072283587377,fixation
194106,1349,2,9869.812561543406,2667.102429914731,saccade
194106,1329,12,447.21359549995793,2663.1391427826156,fixation
194106,1322,14,145.60219778561034,2659.0612916059927,fixation
194106,1219,558,11073.301224115598,2654.6812488246915,saccade
194106,1172,556,940.850678907126,2649.8781389041387,fixation
194106,1129,545,887.6936408468858,2644.581475279662,fixation
194106,1111,584,859.0692637965811,2638.7649496029144,fixation
194106,1079,266,6392.120149058526,2632.4382236984793,saccade
194106,1045,271,687.3136110975832,2625.6331503897854,fixation
194106,1051,232,789.1767862779543,2618.3969551486925,fixation
194106,1059,176,1131.370849898476,2610.7846083381683,fixation
194107,1072,136,841.1896337925236,2602.854290670251,fixation
194107,1100,81,1234.3419299367577,2594.6622643723067,fixation
194107,1104,68,272.02941017470886,2586.2602718871526,fixation
194107,1103,62,121.65525060596438,2577.692728392468,fixation
194107,1095,55,212.60291625469299,2568.9959934053522,fixation
194107,1089,54,121.65525060596438,2560.1980953655648,fixation
194107,1084,60,156.20499351813308,2551.319996185947,fixation
194107,1071,62,263.05892875931806,2542.377348727391,fixation
194107,1071,64,40.0,2533.382798728475,fixation
194107,1068,54,208.806130178211,2524.3482633101007,fixation
194107,1065,53,63.245553203367585,2515.286742888416,fixation
194107,1066,45,161.24515496597098,2506.21353589214,fixation
194107,1062,43,89.44271909999159,2497.1465087704014,fixation
194107,1038,49,494.7726750741192,2488.1056983096314,fixation
194107,1009,52,583.09518948453,2479.112185544941,fixation
194107,983,54,521.5361924162119,2470.184588945371,fixation
194107,949,63,703.4202158027589,2461.341255924095,fixation
194107,947,72,184.39088914585773,2452.5945749001685,fixation
194107,946,138,1320.15150645674,2443.9492339965955,fixation
194107,945,135,63.245553203367585,2435.3993726019808,fixation
194107,945,136,20.0,2426.9256744960794,fixation
194108,939,679,10860.662963189676,2422.4424299257316,saccade
194108,969,1079,8022.468448052632,2417.4231653833876,saccade
194108,982,1079,260.0,2411.5383446373507,fixation
194108,1031,1079,980.0,2404.4607691070473,fixation
194108,1062,1079,620.0,2395.8850077164643,fixation
194108,1098,975,2201.0906387516166,2385.5683710775666,fixation
194108,1118,890,1746.424919657298,2373.371332379733,fixation
194108,1157,773,2466.576574931336,2359.298668271923,saccade
194108,1183,728,1039.4229168149025,2343.5028358349073,fixation
194108,1217,684,1112.1151019566275,2326.2527223427087,fixation
194108,1238,676,449.4441010848846,2307.848427081054,fixation
194108,1247,639,761.5773105863908,2288.4961000933836,fixation
194108,1243,617,447.21359549995793,2268.1863017630485,fixation
194108,1236,626,228.03508501982756,2246.609956557515,fixation
194108,1233,630,100.0,2223.1632044452513,fixation
194108,1231,637,145.60219778561034,2197.047267024043,fixation
194108,1223,631,200.0,2167.4469944763223,fixation
194108,1222,625,121.65525060596438,2133.7401489806216,fixation
194108,1224,626,44.721359549995796,2095.685919491994,fixation
194108,1225,628,44.721359549995796,2053.5623432962357,fixation
194108,1240,627,300.66592756745814,2008.215615438061,fixation
194109,1246,630,134.16407864998737,1961.012690981598,fixation
194109,1256,629,200.9975124224178,1913.7002253640812,fixation
194109,1258,627,56.568542494923804,1868.1896148679825,fixation
194109,1258,637,200.0,1826.2891775465416,fixation
194109,1255,640,84.85281374238569,1789.456768700342,fixation
194109,1249,645,156.20499351813308,1758.6174986428803,fixation
194109,1234,647,302.65491900843114,1734.0856747125215,fixation
194109,1228,657,233.23807579381202,1715.59811077362,fixation
194109,1205,674,572.0139858430036,1702.4563900696062,fixation
194109,1198,676,145.60219778561034,1693.7034362494528,fixation
194109,1185,674,263.05892875931806,1688.2952110763667,fixation
194109,1164,681,442.7188724235731,1685.2456174373128,fixation
194109,1161,680,63.245553203367585,1683.7137366673423,fixation
194109,1145,679,320.62439083762797,1683.0501269703732,fixation
194109,1142,678,63.245553203367585,1682.8238376802121,fixation
194109,1147,671,172.04650534085252,1682.839935002985,fixation
194109,1133,643,626.0990336999411,1683.1508816051132,fixation
194109,1129,638,128.06248474865697,1684.0514630773891,fixation
194109,1126,632,134.16407864998737,1686.0358663776185,fixation
194109,1130,616,329.8484500494128,1689.6933754536735,fixation
194109,1130,603,260.0,1695.5346399931177,fixation
194109,1134,589,291.2043955712207,1703.7682923024404,fixation
194110,1132,558,621.2889826803627,1714.0852362078006,fixation
194110,1132,542,320.0,1725.5257477585137,fixation
194110,1132,518,480.0,1736.5029642411141,fixation
194110,1140,510,226.27416997969522,1744.9992697168846,fixation
194110,1137,502,170.8800749063506,1748.9028009095412,fixation
